text,author,label,class_id,is_ai,TTR,Hapax_Ratio,Adj_Noun_Ratio,Avg_Tree_Depth,Flesch_Kincaid,Semicolons,Em_Dashes,Exclamations
"“He would have shot me once,” he murmured, “yes, there’s the very musket that he pointed at me;—that one with the studded stock; let me touch it—lift it. Strange, that I, who have handled so many deadly lances, strange, that I should shake so now. Loaded? I must see. Aye, aye; and powder in the pan;—that’s not good. Best spill it?—wait. I’ll cure myself of this. I’ll hold the musket boldly while I think.—I come to report a fair wind to him. But how fair? Fair for death and doom,—_that’s_ fair for Moby Dick. It’s a fair wind that’s only fair for that accursed fish.—The very tube he pointed at me!—the very one; _this_ one—I hold it here; he would have killed me with the very thing I handle now.—Aye and he would fain kill all his crew. Does he not say he will not strike his spars to any gale? Has he not dashed his heavenly quadrant? and in these same perilous seas, gropes he not his way by mere dead reckoning of the error-abounding log? and in this very Typhoon, did he not swear that he would have no lightning-rods? But shall this crazed old man be tamely suffered to drag a whole ship’s company down to doom with him?—Yes, it would make him the wilful murderer of thirty men and more, if this ship come to any deadly harm; and come to deadly harm, my soul swears this ship will, if Ahab have his way. If, then, he were this instant—put aside, that crime would not be his. Ha! is he muttering in his sleep? Yes, just there,—in there, he’s sleeping. Sleeping? aye, but still alive, and soon awake again. I can’t withstand thee, then, old man. Not reasoning; not remonstrance; not entreaty wilt thou hearken to; all this thou scornest. Flat obedience to thy own flat commands, this is all thou breathest. Aye, and say’st the men have vow’d thy vow; say’st all of us are Ahabs. Great God forbid!—But is there no other way? no lawful way?—Make him a prisoner to be taken home? What! hope to wrest this old man’s living power from his own living hands? Only a fool would try it. Say he were pinioned even; knotted all over with ropes and hawsers; chained down to ring-bolts on this cabin floor; he would be more hideous than a caged tiger, then. I could not endure the sight; could not possibly fly his howlings; all comfort, sleep itself, inestimable reason would leave me on the long intolerable voyage. What, then, remains? The land is hundreds of leagues away, and locked Japan the nearest. I stand alone here upon an open sea, with two oceans and a whole continent between me and law.—Aye, aye, ’tis so.—Is heaven a murderer when its lightning strikes a would-be murderer in his bed, tindering sheets and skin together?—And would I be a murderer, then, if”—and slowly, stealthily, and half sideways looking, he placed the loaded musket’s end against the door.",Melville,Human,0,0,0.5122448979591837,0.37142857142857144,0.5777777777777777,4.628571428571429,3.3,16.0,19.0,4.0
"“That drove the spigot out of him!” cried Stubb. “’Tis July’s immortal Fourth; all fountains must run wine today! Would now, it were old Orleans whiskey, or old Ohio, or unspeakable old Monongahela! Then, Tashtego, lad, I’d have ye hold a canakin to the jet, and we’d drink round it! Yea, verily, hearts alive, we’d brew choice punch in the spread of his spout-hole there, and from that live punch-bowl quaff the living stuff.”",Melville,Human,0,0,0.8421052631578947,0.7236842105263158,0.3684210526315789,5.0,4.3,1.0,0.0,4.0
"This account cleared up the otherwise unaccountable mystery, and showed that the landlord, after all, had had no idea of fooling me—but at the same time what could I think of a harpooneer who stayed out of a Saturday night clean into the holy Sabbath, engaged in such a cannibal business as selling the heads of dead idolators?",Melville,Human,0,0,0.8305084745762712,0.7627118644067796,0.6,11.0,23.6,0.0,1.0,0.0
"Still, looking round me again, and seeing no possible chance of spending a sufferable night unless in some other person’s bed, I began to think that after all I might be cherishing unwarrantable prejudices against this unknown harpooneer. Thinks I, I’ll wait awhile; he must be dropping in before long. I’ll have a good look at him then, and perhaps we may become jolly good bedfellows after all—there’s no telling.",Melville,Human,0,0,0.8309859154929577,0.704225352112676,0.7777777777777778,6.0,10.0,1.0,1.0,0.0
"“Fiery pit! fiery pit! ye insult me, man; past all natural bearing, ye insult me. It’s an all-fired outrage to tell any human creature that he’s bound to hell. Flukes and flames! Bildad, say that again to me, and start my soul-bolts, but I’ll—I’ll—yes, I’ll swallow a live goat with all his hair and horns on. Out of the cabin, ye canting, drab-coloured son of a wooden gun—a straight wake with ye!”",Melville,Human,0,0,0.75,0.5921052631578947,0.4,3.5714285714285716,5.4,1.0,3.0,4.0
"“Grin away; we’ll see what turns up. Hark ye, Cabaco, there is somebody down in the after-hold that has not yet been seen on deck; and I suspect our old Mogul knows something of it too. I heard Stubb tell Flask, one morning watch, that there was something of that sort in the wind.”",Melville,Human,0,0,0.8545454545454545,0.7272727272727273,0.125,5.333333333333333,4.4,2.0,0.0,0.0
"In that up and down manly book of old-fashioned adventure, so full, too, of honest wonders—the voyage of Lionel Wafer, one of ancient Dampier’s old chums—I found a little matter set down so like that just quoted from Langsdorff, that I cannot forbear inserting it here for a corroborative example, if such be needed.",Melville,Human,0,0,0.8275862068965517,0.7068965517241379,1.4285714285714286,12.0,23.2,0.0,2.0,0.0
"“My captain, you must have ere this perceived, respected sir”—said the imperturbable godly-looking Bunger, slightly bowing to Ahab—“is apt to be facetious at times; he spins us many clever things of that sort. But I may as well say—en passant, as the French remark—that I myself—that is to say, Jack Bunger, late of the reverend clergy—am a strict total abstinence man; I never drink—”",Melville,Human,0,0,0.8208955223880597,0.7014925373134329,1.0,8.5,13.4,2.0,7.0,0.0
"“Then tell me; art thou not an arrant, all-grasping, intermeddling, monopolising, heathenish old scamp, to be one day making legs, and the next day coffins to clap them in, and yet again life-buoys out of those same coffins? Thou art as unprincipled as the gods, and as much of a jack-of-all-trades.”",Melville,Human,0,0,0.7678571428571429,0.5892857142857143,0.4,7.0,10.9,1.0,0.0,0.0
"A tramping of sea boots was heard in the entry; the door was flung open, and in rolled a wild set of mariners enough. Enveloped in their shaggy watch coats, and with their heads muffled in woollen comforters, all bedarned and ragged, and their beards stiff with icicles, they seemed an eruption of bears from Labrador. They had just landed from their boat, and this was the first house they entered. No wonder, then, that they made a straight wake for the whale’s mouth—the bar—when the wrinkled little old Jonah, there officiating, soon poured them out brimmers all round. One complained of a bad cold in his head, upon which Jonah mixed him a pitch-like potion of gin and molasses, which he swore was a sovereign cure for all colds and catarrhs whatsoever, never mind of how long standing, or whether caught off the coast of Labrador, or on the weather side of an ice-island.",Melville,Human,0,0,0.6981132075471698,0.5911949685534591,0.35135135135135137,7.4,10.7,1.0,2.0,0.0
"“Aye, blacksmith, it is the one; aye, man, it is unsmoothable; for though thou only see’st it here in my flesh, it has worked down into the bone of my skull—_that_ is all wrinkles! But, away with child’s play; no more gaffs and pikes to-day. Look ye here!” jingling the leathern bag, as if it were full of gold coins. “I, too, want a harpoon made; one that a thousand yoke of fiends could not part, Perth; something that will stick in a whale like his own fin-bone. There’s the stuff,” flinging the pouch upon the anvil. “Look ye, blacksmith, these are the gathered nail-stubbs of the steel shoes of racing horses.”",Melville,Human,0,0,0.7433628318584071,0.6106194690265486,0.16129032258064516,5.571428571428571,4.8,5.0,1.0,2.0
"One of the wild suggestions referred to, as at last coming to be linked with the White Whale in the minds of the superstitiously inclined, was the unearthly conceit that Moby Dick was ubiquitous; that he had actually been encountered in opposite latitudes at one and the same instant of time.",Melville,Human,0,0,0.7450980392156863,0.5882352941176471,1.0,10.0,22.0,1.0,0.0,0.0
"But he looked too nigh the boat; for as if bent upon escaping with the corpse he bore, and as if the particular place of the last encounter had been but a stage in his leeward voyage, Moby Dick was now again steadily swimming forward; and had almost passed the ship,—which thus far had been sailing in the contrary direction to him, though for the present her headway had been stopped. He seemed swimming with his utmost velocity, and now only intent upon pursuing his own straight path in the sea.",Melville,Human,0,0,0.6888888888888889,0.5222222222222223,0.5714285714285714,9.0,17.5,2.0,1.0,0.0
"To make them run easily and swiftly, the axles of carriages are anointed; and for much the same purpose, some whalers perform an analogous operation upon their boat; they grease the bottom. Nor is it to be doubted that as such a procedure can do no harm, it may possibly be of no contemptible advantage; considering that oil and water are hostile; that oil is a sliding thing, and that the object in view is to make the boat slide bravely. Queequeg believed strongly in anointing his boat, and one morning not long after the German ship Jungfrau disappeared, took more than customary pains in that occupation; crawling under its bottom, where it hung over the side, and rubbing in the unctuousness as though diligently seeking to insure a crop of hair from the craft’s bald keel. He seemed to be working in obedience to some particular presentiment. Nor did it remain unwarranted by the event.",Melville,Human,0,0,0.6923076923076923,0.5705128205128205,0.3125,7.4,13.1,5.0,0.0,0.0
"Now, to any one not fully acquainted with the ways of the leviathans, it might seem an absurdly hopeless task thus to seek out one solitary creature in the unhooped oceans of this planet. But not so did it seem to Ahab, who knew the sets of all tides and currents; and thereby calculating the driftings of the sperm whale’s food; and, also, calling to mind the regular, ascertained seasons for hunting him in particular latitudes; could arrive at reasonable surmises, almost approaching to certainties, concerning the timeliest day to be upon this or that ground in search of his prey.",Melville,Human,0,0,0.7524752475247525,0.6534653465346535,0.3181818181818182,9.0,20.6,3.0,0.0,0.0
"Now, though such great bodies are at times encountered, yet, as must have been seen, even at the present day, small detached bands are occasionally observed, embracing from twenty to fifty individuals each. Such bands are known as schools. They generally are of two sorts; those composed almost entirely of females, and those mustering none but young vigorous males, or bulls, as they are familiarly designated.",Melville,Human,0,0,0.8181818181818182,0.696969696969697,0.5833333333333334,5.333333333333333,10.7,1.0,0.0,0.0
"The three corresponding new sails were now bent and reefed, and a storm-trysail was set further aft; so that the ship soon went through the water with some precision again; and the course—for the present, East-south-east—which he was to steer, if practicable, was once more given to the helmsman. For during the violence of the gale, he had only steered according to its vicissitudes. But as he was now bringing the ship as near her course as possible, watching the compass meanwhile, lo! a good sign! the wind seemed coming round astern; aye, the foul breeze became fair!",Melville,Human,0,0,0.7281553398058253,0.6116504854368932,0.43478260869565216,5.8,7.4,3.0,2.0,3.0
"“Steelkilt rose, and slowly retreating round the windlass, steadily followed by the mate with his menacing hammer, deliberately repeated his intention not to obey. Seeing, however, that his forbearance had not the slightest effect, by an awful and unspeakable intimation with his twisted hand he warned off the foolish and infatuated man; but it was to no purpose. And in this way the two went once slowly round the windlass; when, resolved at last no longer to retreat, bethinking him that he had now forborne as much as comported with his humor, the Lakeman paused on the hatches and thus spoke to the officer:",Melville,Human,0,0,0.7019230769230769,0.5576923076923077,0.5,5.666666666666667,15.6,2.0,0.0,0.0
"“The Cachalot” (Sperm Whale) “is not only better armed than the True Whale” (Greenland or Right Whale) “in possessing a formidable weapon at either extremity of its body, but also more frequently displays a disposition to employ these weapons offensively and in manner at once so artful, bold, and mischievous, as to lead to its being regarded as the most dangerous to attack of all the known species of the whale tribe.” —_Frederick Debell Bennett’s Whaling Voyage Round the Globe_, 1840.",Melville,Human,0,0,0.7625,0.6375,0.45454545454545453,8.5,17.9,0.0,1.0,0.0
"BOOK II. (_Octavo_), CHAPTER I. (_Grampus_).—Though this fish, whose loud sonorous breathing, or rather blowing, has furnished a proverb to landsmen, is so well known a denizen of the deep, yet is he not popularly classed among whales. But possessing all the grand distinctive features of the leviathan, most naturalists have recognised him for one. He is of moderate octavo size, varying from fifteen to twenty-five feet in length, and of corresponding dimensions round the waist. He swims in herds; he is never regularly hunted, though his oil is considerable in quantity, and pretty good for light. By some fishermen his approach is regarded as premonitory of the advance of the great sperm whale.",Melville,Human,0,0,0.7699115044247787,0.672566371681416,0.3333333333333333,5.428571428571429,9.5,1.0,1.0,0.0
"That for six thousand years—and no one knows how many millions of ages before—the great whales should have been spouting all over the sea, and sprinkling and mistifying the gardens of the deep, as with so many sprinkling or mistifying pots; and that for some centuries back, thousands of hunters should have been close by the fountain of the whale, watching these sprinklings and spoutings—that all this should be, and yet, that down to this blessed minute (fifteen and a quarter minutes past one o’clock P.M. of this sixteenth day of December, A.D. 1851), it should still remain a problem, whether these spoutings are, after all, really water, or nothing but vapor—this is surely a noteworthy thing.",Melville,Human,0,0,0.6666666666666666,0.5128205128205128,0.32,19.0,15.0,1.0,4.0,0.0
"“You said up there, didn’t you? and now look yourself, and see where your tongs are pointing. But, perhaps you expect to get into heaven by crawling through the lubber’s hole, cook; but, no, no, cook, you don’t get there, except you go the regular way, round by the rigging. It’s a ticklish business, but must be done, or else it’s no go. But none of us are in heaven yet. Drop your tongs, cook, and hear my orders. Do ye hear? Hold your hat in one hand, and clap t’other a’top of your heart, when I’m giving my orders, cook. What! that your heart, there?—that’s your gizzard! Aloft! aloft!—that’s it—now you have it. Hold it there now, and pay attention.”",Melville,Human,0,0,0.6101694915254238,0.4067796610169492,0.09090909090909091,4.166666666666667,2.5,1.0,3.0,4.0
"Some pretend to see a difference between the Greenland whale of the English and the right whale of the Americans. But they precisely agree in all their grand features; nor has there yet been presented a single determinate fact upon which to ground a radical distinction. It is by endless subdivisions based upon the most inconclusive differences, that some departments of natural history become so repellingly intricate. The right whale will be elsewhere treated of at some length, with reference to elucidating the sperm whale.",Melville,Human,0,0,0.7647058823529411,0.6705882352941176,0.6666666666666666,7.0,11.6,1.0,0.0,0.0
"First: The mariner, when drawing nigh the coasts of foreign lands, if by night he hear the roar of breakers, starts to vigilance, and feels just enough of trepidation to sharpen all his faculties; but under precisely similar circumstances, let him be called from his hammock to view his ship sailing through a midnight sea of milky whiteness—as if from encircling headlands shoals of combed white bears were swimming round him, then he feels a silent, superstitious dread; the shrouded phantom of the whitened waters is horrible to him as a real ghost; in vain the lead assures him he is still off soundings; heart and helm they both go down; he never rests till blue water is under him again. Yet where is the mariner who will tell thee, “Sir, it was not so much the fear of striking hidden rocks, as the fear of that hideous whiteness that so stirred me?”",Melville,Human,0,0,0.7142857142857143,0.5909090909090909,0.4117647058823529,9.0,29.6,5.0,1.0,0.0
"Though amid all the smoking horror and diabolism of a sea-fight, sharks will be seen longingly gazing up to the ship’s decks, like hungry dogs round a table where red meat is being carved, ready to bolt down every killed man that is tossed to them; and though, while the valiant butchers over the deck-table are thus cannibally carving each other’s live meat with carving-knives all gilded and tasselled, the sharks, also, with their jewel-hilted mouths, are quarrelsomely carving away under the table at the dead meat; and though, were you to turn the whole affair upside down, it would still be pretty much the same thing, that is to say, a shocking sharkish business enough for all parties; and though sharks also are the invariable outriders of all slave ships crossing the Atlantic, systematically trotting alongside, to be handy in case a parcel is to be carried anywhere, or a dead slave to be decently buried; and though one or two other like instances might be set down, touching the set terms, places, and occasions, when sharks do most socially congregate, and most hilariously feast; yet is there no conceivable time or occasion when you will find them in such countless numbers, and in gayer or more jovial spirits, than around a dead sperm whale, moored by night to a whaleship at sea. If you have never seen that sight, then suspend your decision about the propriety of devil-worship, and the expediency of conciliating the devil.",Melville,Human,0,0,0.626984126984127,0.49206349206349204,0.39285714285714285,9.0,49.1,5.0,0.0,0.0
"Bildad laid down his book, and turning solemnly towards him said, “Captain Peleg, thou hast a generous heart; but thou must consider the duty thou owest to the other owners of this ship—widows and orphans, many of them—and that if we too abundantly reward the labors of this young man, we may be taking the bread from those widows and those orphans. The seven hundred and seventy-seventh lay, Captain Peleg.”",Melville,Human,0,0,0.7397260273972602,0.589041095890411,0.3333333333333333,6.5,15.8,1.0,2.0,0.0
"With a long, weary hoist the jaw is dragged on board, as if it were an anchor; and when the proper time comes—some few days after the other work—Queequeg, Daggoo, and Tashtego, being all accomplished dentists, are set to drawing teeth. With a keen cutting-spade, Queequeg lances the gums; then the jaw is lashed down to ringbolts, and a tackle being rigged from aloft, they drag out these teeth, as Michigan oxen drag stumps of old oaks out of wild wood lands. There are generally forty-two teeth in all; in old whales, much worn down, but undecayed; nor filled after our artificial fashion. The jaw is afterwards sawn into slabs, and piled away like joists for building houses.",Melville,Human,0,0,0.7540983606557377,0.5901639344262295,0.36666666666666664,6.5,11.3,4.0,2.0,0.0
"I say, we good Presbyterian Christians should be charitable in these things, and not fancy ourselves so vastly superior to other mortals, pagans and what not, because of their half-crazy conceits on these subjects. There was Queequeg, now, certainly entertaining the most absurd notions about Yojo and his Ramadan;—but what of that? Queequeg thought he knew what he was about, I suppose; he seemed to be content; and there let him rest. All our arguing with him would not avail; let him be, I say: and Heaven have mercy on us all—Presbyterians and Pagans alike—for we are all somehow dreadfully cracked about the head, and sadly need mending.",Melville,Human,0,0,0.6909090909090909,0.5,1.1111111111111112,6.5,12.6,4.0,3.0,0.0
"Mayhew having concluded his narration, Ahab put such questions to him, that the stranger captain could not forbear inquiring whether he intended to hunt the White Whale, if opportunity should offer. To which Ahab answered—“Aye.” Straightway, then, Gabriel once more started to his feet, glaring upon the old man, and vehemently exclaimed, with downward pointed finger—“Think, think of the blasphemer—dead, and down there!—beware of the blasphemer’s end!”",Melville,Human,0,0,0.8153846153846154,0.7076923076923077,0.5555555555555556,6.333333333333333,9.8,0.0,4.0,2.0
"When in the Southern Fishery, a captured Sperm Whale, after long and weary toil, is brought alongside late at night, it is not, as a general thing at least, customary to proceed at once to the business of cutting him in. For that business is an exceedingly laborious one; is not very soon completed; and requires all hands to set about it. Therefore, the common usage is to take in all sail; lash the helm a’lee; and then send every one below to his hammock till daylight, with the reservation that, until that time, anchor-watches shall be kept; that is, two and two for an hour, each couple, the crew in rotation shall mount the deck to see that all goes well.",Melville,Human,0,0,0.680327868852459,0.5409836065573771,0.35,8.333333333333334,15.6,5.0,0.0,0.0
"Next day, a large ship, the Rachel, was descried, bearing directly down upon the Pequod, all her spars thickly clustering with men. At the time the Pequod was making good speed through the water; but as the broad-winged windward stranger shot nigh to her, the boastful sails all fell together as blank bladders that are burst, and all life fled from the smitten hull.",Melville,Human,0,0,0.8,0.7076923076923077,0.6666666666666666,6.5,12.2,1.0,0.0,0.0
"South-eastward from the Cape, off the distant Crozetts, a good cruising ground for Right Whalemen, a sail loomed ahead, the Goney (Albatross) by name. As she slowly drew nigh, from my lofty perch at the fore-mast-head, I had a good view of that sight so remarkable to a tyro in the far ocean fisheries—a whaler at sea, and long absent from home.",Melville,Human,0,0,0.8181818181818182,0.7424242424242424,0.3684210526315789,10.5,10.7,0.0,1.0,0.0
"The bar-room was now full of the boarders who had been dropping in the night previous, and whom I had not as yet had a good look at. They were nearly all whalemen; chief mates, and second mates, and third mates, and sea carpenters, and sea coopers, and sea blacksmiths, and harpooneers, and ship keepers; a brown and brawny company, with bosky beards; an unshorn, shaggy set, all wearing monkey jackets for morning gowns.",Melville,Human,0,0,0.76,0.6666666666666666,0.38461538461538464,9.5,14.2,3.0,0.0,0.0
"Latin from the books of the Laws of England, which taken along with the context, means, that of all whales captured by anybody on the coast of that land, the King, as Honorary Grand Harpooneer, must have the head, and the Queen be respectfully presented with the tail. A division which, in the whale, is much like halving an apple; there is no intermediate remainder. Now as this law, under a modified form, is to this day in force in England; and as it offers in various respects a strange anomaly touching the general law of Fast and Loose-Fish, it is here treated of in a separate chapter, on the same courteous principle that prompts the English railways to be at the expense of a separate car, specially reserved for the accommodation of royalty. In the first place, in curious proof of the fact that the above-mentioned law is still in force, I proceed to lay before you a circumstance that happened within the last two years.",Melville,Human,0,0,0.6331360946745562,0.5207100591715976,0.3939393939393939,10.0,17.2,2.0,0.0,0.0
"And when that functionary appeared before him, he bade him without delay set about making a new leg, and directed the mates to see him supplied with all the studs and joists of jaw-ivory (Sperm Whale) which had thus far been accumulated on the voyage, in order that a careful selection of the stoutest, clearest-grained stuff might be secured. This done, the carpenter received orders to have the leg completed that night; and to provide all the fittings for it, independent of those pertaining to the distrusted one in use. Moreover, the ship’s forge was ordered to be hoisted out of its temporary idleness in the hold; and, to accelerate the affair, the blacksmith was commanded to proceed at once to the forging of whatever iron contrivances might be needed.",Melville,Human,0,0,0.696969696969697,0.5984848484848485,0.2222222222222222,10.0,17.8,2.0,0.0,0.0
"As for Peleg himself, he took it more like a philosopher; but for all his philosophy, there was a tear twinkling in his eye, when the lantern came too near. And he, too, did not a little run from cabin to deck—now a word below, and now a word with Starbuck, the chief mate.",Melville,Human,0,0,0.7818181818181819,0.6181818181818182,0.18181818181818182,7.5,9.1,1.0,1.0,0.0
"Let us now with whatever levers and steam-engines we have at hand, cant over the sperm whale’s head, that it may lie bottom up; then, ascending by a ladder to the summit, have a peep down the mouth; and were it not that the body is now completely separated from it, with a lantern we might descend into the great Kentucky Mammoth Cave of his stomach. But let us hold on here by this tooth, and look about us where we are. What a really beautiful and chaste-looking mouth! from floor to ceiling, lined, or rather papered with a glistening white membrane, glossy as bridal satins.",Melville,Human,0,0,0.7522935779816514,0.6146788990825688,0.23809523809523808,7.5,10.1,2.0,0.0,1.0
"It was quite late in the evening when the little Moss came snugly to anchor, and Queequeg and I went ashore; so we could attend to no business that day, at least none but a supper and a bed. The landlord of the Spouter-Inn had recommended us to his cousin Hosea Hussey of the Try Pots, whom he asserted to be the proprietor of one of the best kept hotels in all Nantucket, and moreover he had assured us that Cousin Hosea, as he called him, was famous for his chowders. In short, he plainly hinted that we could not possibly do better than try pot-luck at the Try Pots. But the directions he had given us about keeping a yellow warehouse on our starboard hand till we opened a white church to the larboard, and then keeping that on the larboard hand till we made a corner three points to the starboard, and that done, then ask the first man we met where the place was: these crooked directions of his very much puzzled us at first, especially as, at the outset, Queequeg insisted that the yellow warehouse—our first point of departure—must be left on the larboard hand, whereas I had understood Peter Coffin to say it was on the starboard. However, by dint of beating about a little in the dark, and now and then knocking up a peaceable inhabitant to inquire the way, we at last came to something which there was no mistaking.",Melville,Human,0,0,0.545816733067729,0.38247011952191234,0.34146341463414637,9.4,19.0,1.0,2.0,0.0
"“I have heard,” murmured Starbuck, gazing down the scuttle, “that in violent fevers, men, all ignorance, have talked in ancient tongues; and that when the mystery is probed, it turns out always that in their wholly forgotten childhood those ancient tongues had been really spoken in their hearing by some lofty scholars. So, to my fond faith, poor Pip, in this strange sweetness of his lunacy, brings heavenly vouchers of all our heavenly homes. Where learned he that, but there?—Hark! he speaks again: but more wildly now.”",Melville,Human,0,0,0.8023255813953488,0.6627906976744186,0.5625,5.75,9.4,1.0,1.0,1.0
"“Some ten days after the French ships sailed, the whale-boat arrived, and the captain was forced to enlist some of the more civilized Tahitians, who had been somewhat used to the sea. Chartering a small native schooner, he returned with them to his vessel; and finding all right there, again resumed his cruisings.",Melville,Human,0,0,0.8333333333333334,0.7407407407407407,0.4444444444444444,7.0,10.1,1.0,0.0,0.0
